原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_17,COL_18,COL_19,COL_20,COL_21,COL_22,COL_23,COL_24,COL_25,COL_26,COL_27,COL_28,COL_29,COL_30,COL_31,COL_32,COL_33,COL_34,COL_35,COL_36,COL_37,COL_38,COL_39,COL_40,COL_41,COL_42,COL_43,COL_44,COL_45,COL_46,COL_47,COL_48,COL_49,COL_50,COL_51,COL_52,COL_53,COL_54,COL_55,COL_56,COL_57,COL_58,COL_59,COL_60,COL_61,COL_62,COL_63,COL_64,COL_65,COL_66,COL_67,COL_68,COL_69,COL_70,COL_71,COL_72,COL_73,COL_74,COL_75,COL_76,COL_77,COL_78,COL_79,COL_80,COL_81,COL_82,COL_83,COL_84,COL_85,COL_86,COL_87,COL_88,COL_89,COL_90,COL_91,COL_92,COL_93,COL_94,COL_95
美人薄命,美人命薄,美薄人命,美薄命人,美命人薄,美命薄人,人美薄命,人美命薄,人薄美命,人薄命美,人命美薄,人命薄美,薄美人命,薄美命人,薄人美命,薄人命美,薄命美人,薄命人美,命美人薄,命美薄人,命人美薄,命人薄美,命薄美人,命薄人美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百鬼夜行,百鬼行夜,百夜鬼行,百夜行鬼,百行鬼夜,百行夜鬼,鬼百夜行,鬼百行夜,鬼夜百行,鬼夜行百,鬼行百夜,鬼行夜百,夜百鬼行,夜百行鬼,夜鬼百行,夜鬼行百,夜行百鬼,夜行鬼百,行百鬼夜,行百夜鬼,行鬼百夜,行鬼夜百,行夜百鬼,行夜鬼百,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇猛果敢,勇猛敢果,勇果猛敢,勇果敢猛,勇敢猛果,勇敢果猛,猛勇果敢,猛勇敢果,猛果勇敢,猛果敢勇,猛敢勇果,猛敢果勇,果勇猛敢,果勇敢猛,果猛勇敢,果猛敢勇,果敢勇猛,果敢猛勇,敢勇猛果,敢勇果猛,敢猛勇果,敢猛果勇,敢果勇猛,敢果猛勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷汗三斗,冷汗斗三,冷三汗斗,冷三斗汗,冷斗汗三,冷斗三汗,汗冷三斗,汗冷斗三,汗三冷斗,汗三斗冷,汗斗冷三,汗斗三冷,三冷汗斗,三冷斗汗,三汗冷斗,三汗斗冷,三斗冷汗,三斗汗冷,斗冷汗三,斗冷三汗,斗汗冷三,斗汗三冷,斗三冷汗,斗三汗冷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群雄割拠,群雄拠割,群割雄拠,群割拠雄,群拠雄割,群拠割雄,雄群割拠,雄群拠割,雄割群拠,雄割拠群,雄拠群割,雄拠割群,割群雄拠,割群拠雄,割雄群拠,割雄拠群,割拠群雄,割拠雄群,拠群雄割,拠群割雄,拠雄群割,拠雄割群,拠割群雄,拠割雄群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一世風靡,一世靡風,一風世靡,一風靡世,一靡世風,一靡風世,世一風靡,世一靡風,世風一靡,世風靡一,世靡一風,世靡風一,風一世靡,風一靡世,風世一靡,風世靡一,風靡一世,風靡世一,靡一世風,靡一風世,靡世一風,靡世風一,靡風一世,靡風世一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風林火山,風林山火,風火林山,風火山林,風山林火,風山火林,林風火山,林風山火,林火風山,林火山風,林山風火,林山火風,火風林山,火風山林,火林風山,火林山風,火山風林,火山林風,山風林火,山風火林,山林風火,山林火風,山火風林,山火林風,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
才色兼備,才色備兼,才兼色備,才兼備色,才備色兼,才備兼色,色才兼備,色才備兼,色兼才備,色兼備才,色備才兼,色備兼才,兼才色備,兼才備色,兼色才備,兼色備才,兼備才色,兼備色才,備才色兼,備才兼色,備色才兼,備色兼才,備兼才色,備兼色才,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精神一到,精神到一,精一神到,精一到神,精到神一,精到一神,神精一到,神精到一,神一精到,神一到精,神到精一,神到一精,一精神到,一精到神,一神精到,一神到精,一到精神,一到神精,到精神一,到精一神,到神精一,到神一精,到一精神,到一神精,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一念発起,一念起発,一発念起,一発起念,一起念発,一起発念,念一発起,念一起発,念発一起,念発起一,念起一発,念起発一,発一念起,発一起念,発念一起,発念起一,発起一念,発起念一,起一念発,起一発念,起念一発,起念発一,起発一念,起発念一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一騎当千,一騎千当,一当騎千,一当千騎,一千騎当,一千当騎,騎一当千,騎一千当,騎当一千,騎当千一,騎千一当,騎千当一,当一騎千,当一千騎,当騎一千,当騎千一,当千一騎,当千騎一,千一騎当,千一当騎,千騎一当,千騎当一,千当一騎,千当騎一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多士済々,多士々済,多済士々,多済々士,多々士済,多々済士,士多済々,士多々済,士済多々,士済々多,士々多済,士々済多,済多士々,済多々士,済士多々,済士々多,済々多士,済々士多,々多士済,々多済士,々士多済,々士済多,々済多士,々済士多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浅学非才,浅学才非,浅非学才,浅非才学,浅才学非,浅才非学,学浅非才,学浅才非,学非浅才,学非才浅,学才浅非,学才非浅,非浅学才,非浅才学,非学浅才,非学才浅,非才浅学,非才学浅,才浅学非,才浅非学,才学浅非,才学非浅,才非浅学,才非学浅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厚顔無恥,厚顔恥無,厚無顔恥,厚無恥顔,厚恥顔無,厚恥無顔,顔厚無恥,顔厚恥無,顔無厚恥,顔無恥厚,顔恥厚無,顔恥無厚,無厚顔恥,無厚恥顔,無顔厚恥,無顔恥厚,無恥厚顔,無恥顔厚,恥厚顔無,恥厚無顔,恥顔厚無,恥顔無厚,恥無厚顔,恥無顔厚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豪放磊落,豪放落磊,豪磊放落,豪磊落放,豪落放磊,豪落磊放,放豪磊落,放豪落磊,放磊豪落,放磊落豪,放落豪磊,放落磊豪,磊豪放落,磊豪落放,磊放豪落,磊放落豪,磊落豪放,磊落放豪,落豪放磊,落豪磊放,落放豪磊,落放磊豪,落磊豪放,落磊放豪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
意気軒昂,意気昂軒,意軒気昂,意軒昂気,意昂気軒,意昂軒気,気意軒昂,気意昂軒,気軒意昂,気軒昂意,気昂意軒,気昂軒意,軒意気昂,軒意昂気,軒気意昂,軒気昂意,軒昂意気,軒昂気意,昂意気軒,昂意軒気,昂気意軒,昂気軒意,昂軒意気,昂軒気意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温厚篤実,温厚実篤,温篤厚実,温篤実厚,温実厚篤,温実篤厚,厚温篤実,厚温実篤,厚篤温実,厚篤実温,厚実温篤,厚実篤温,篤温厚実,篤温実厚,篤厚温実,篤厚実温,篤実温厚,篤実厚温,実温厚篤,実温篤厚,実厚温篤,実厚篤温,実篤温厚,実篤厚温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温良恭倹,温良倹恭,温恭良倹,温恭倹良,温倹良恭,温倹恭良,良温恭倹,良温倹恭,良恭温倹,良恭倹温,良倹温恭,良倹恭温,恭温良倹,恭温倹良,恭良温倹,恭良倹温,恭倹温良,恭倹良温,倹温良恭,倹温恭良,倹良温恭,倹良恭温,倹恭温良,倹恭良温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確乎不抜,確乎抜不,確不乎抜,確不抜乎,確抜乎不,確抜不乎,乎確不抜,乎確抜不,乎不確抜,乎不抜確,乎抜確不,乎抜不確,不確乎抜,不確抜乎,不乎確抜,不乎抜確,不抜確乎,不抜乎確,抜確乎不,抜確不乎,抜乎確不,抜乎不確,抜不確乎,抜不乎確,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇想天外,奇想外天,奇天想外,奇天外想,奇外想天,奇外天想,想奇天外,想奇外天,想天奇外,想天外奇,想外奇天,想外天奇,天奇想外,天奇外想,天想奇外,天想外奇,天外奇想,天外想奇,外奇想天,外奇天想,外想奇天,外想天奇,外天奇想,外天想奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
協力無比,協力比無,協無力比,協無比力,協比力無,協比無力,力協無比,力協比無,力無協比,力無比協,力比協無,力比無協,無協力比,無協比力,無力協比,無力比協,無比協力,無比力協,比協力無,比協無力,比力協無,比力無協,比無協力,比無力協,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堅如磐石,堅如石磐,堅磐如石,堅磐石如,堅石如磐,堅石磐如,如堅磐石,如堅石磐,如磐堅石,如磐石堅,如石堅磐,如石磐堅,磐堅如石,磐堅石如,磐如堅石,磐如石堅,磐石堅如,磐石如堅,石堅如磐,石堅磐如,石如堅磐,石如磐堅,石磐堅如,石磐如堅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虚心坦懐,虚心懐坦,虚坦心懐,虚坦懐心,虚懐心坦,虚懐坦心,心虚坦懐,心虚懐坦,心坦虚懐,心坦懐虚,心懐虚坦,心懐坦虚,坦虚心懐,坦虚懐心,坦心虚懐,坦心懐虚,坦懐虚心,坦懐心虚,懐虚心坦,懐虚坦心,懐心虚坦,懐心坦虚,懐坦虚心,懐坦心虚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厳正中立,厳正立中,厳中正立,厳中立正,厳立正中,厳立中正,正厳中立,正厳立中,正中厳立,正中立厳,正立厳中,正立中厳,中厳正立,中厳立正,中正厳立,中正立厳,中立厳正,中立正厳,立厳正中,立厳中正,立正厳中,立正中厳,立中厳正,立中正厳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高論卓説,高論説卓,高卓論説,高卓説論,高説論卓,高説卓論,論高卓説,論高説卓,論卓高説,論卓説高,論説高卓,論説卓高,卓高論説,卓高説論,卓論高説,卓論説高,卓説高論,卓説論高,説高論卓,説高卓論,説論高卓,説論卓高,説卓高論,説卓論高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質疑応答,質疑答応,質応疑答,質応答疑,質答疑応,質答応疑,疑質応答,疑質答応,疑応質答,疑応答質,疑答質応,疑答応質,応質疑答,応質答疑,応疑質答,応疑答質,応答質疑,応答疑質,答質疑応,答質応疑,答疑質応,答疑応質,答応質疑,答応疑質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四面楚歌,四面歌楚,四楚面歌,四楚歌面,四歌面楚,四歌楚面,面四楚歌,面四歌楚,面楚四歌,面楚歌四,面歌四楚,面歌楚四,楚四面歌,楚四歌面,楚面四歌,楚面歌四,楚歌四面,楚歌面四,歌四面楚,歌四楚面,歌面四楚,歌面楚四,歌楚四面,歌楚面四,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青天白日,青天日白,青白天日,青白日天,青日天白,青日白天,天青白日,天青日白,天白青日,天白日青,天日青白,天日白青,白青天日,白青日天,白天青日,白天日青,白日青天,白日天青,日青天白,日青白天,日天青白,日天白青,日白青天,日白天青,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰然自若,泰然若自,泰自然若,泰自若然,泰若然自,泰若自然,然泰自若,然泰若自,然自泰若,然自若泰,然若泰自,然若自泰,自泰然若,自泰若然,自然泰若,自然若泰,自若泰然,自若然泰,若泰然自,若泰自然,若然泰自,若然自泰,若自泰然,若自然泰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単刀直入,単刀入直,単直刀入,単直入刀,単入刀直,単入直刀,刀単直入,刀単入直,刀直単入,刀直入単,刀入単直,刀入直単,直単刀入,直単入刀,直刀単入,直刀入単,直入単刀,直入刀単,入単刀直,入単直刀,入刀単直,入刀直単,入直単刀,入直刀単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
適者生存,適者存生,適生者存,適生存者,適存者生,適存生者,者適生存,者適存生,者生適存,者生存適,者存適生,者存生適,生適者存,生適存者,生者適存,生者存適,生存適者,生存者適,存適者生,存適生者,存者適生,存者生適,存生適者,存生者適,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電光石火,電光火石,電石光火,電石火光,電火光石,電火石光,光電石火,光電火石,光石電火,光石火電,光火電石,光火石電,石電光火,石電火光,石光電火,石光火電,石火電光,石火光電,火電光石,火電石光,火光電石,火光石電,火石電光,火石光電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百発百中,百発中百,百百発中,百百中発,百中発百,百中百発,発百百中,発百中百,発百百中,発百中百,発中百百,発中百百,百百発中,百百中発,百発百中,百発中百,百中百発,百中発百,中百発百,中百百発,中発百百,中発百百,中百百発,中百発百,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
変幻自在,変幻在自,変自幻在,変自在幻,変在幻自,変在自幻,幻変自在,幻変在自,幻自変在,幻自在変,幻在変自,幻在自変,自変幻在,自変在幻,自幻変在,自幻在変,自在変幻,自在幻変,在変幻自,在変自幻,在幻変自,在幻自変,在自変幻,在自幻変,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
満身創痍,満身痍創,満創身痍,満創痍身,満痍身創,満痍創身,身満創痍,身満痍創,身創満痍,身創痍満,身痍満創,身痍創満,創満身痍,創満痍身,創身満痍,創身痍満,創痍満身,創痍身満,痍満身創,痍満創身,痍身満創,痍身創満,痍創満身,痍創身満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無知蒙昧,無知昧蒙,無蒙知昧,無蒙昧知,無昧知蒙,無昧蒙知,知無蒙昧,知無昧蒙,知蒙無昧,知蒙昧無,知昧無蒙,知昧蒙無,蒙無知昧,蒙無昧知,蒙知無昧,蒙知昧無,蒙昧無知,蒙昧知無,昧無知蒙,昧無蒙知,昧知無蒙,昧知蒙無,昧蒙無知,昧蒙知無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇往邁進,勇往進邁,勇邁往進,勇邁進往,勇進往邁,勇進邁往,往勇邁進,往勇進邁,往邁勇進,往邁進勇,往進勇邁,往進邁勇,邁勇往進,邁勇進往,邁往勇進,邁往進勇,邁進勇往,邁進往勇,進勇往邁,進勇邁往,進往勇邁,進往邁勇,進邁勇往,進邁往勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油断大敵,油断敵大,油大断敵,油大敵断,油敵断大,油敵大断,断油大敵,断油敵大,断大油敵,断大敵油,断敵油大,断敵大油,大油断敵,大油敵断,大断油敵,大断敵油,大敵油断,大敵断油,敵油断大,敵油大断,敵断油大,敵断大油,敵大油断,敵大断油,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
用意周到,用意到周,用周意到,用周到意,用到意周,用到周意,意用周到,意用到周,意周用到,意周到用,意到用周,意到周用,周用意到,周用到意,周意用到,周意到用,周到用意,周到意用,到用意周,到用周意,到意用周,到意周用,到周用意,到周意用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理路整然,理路然整,理整路然,理整然路,理然路整,理然整路,路理整然,路理然整,路整理然,路整然理,路然理整,路然整理,整理路然,整理然路,整路理然,整路然理,整然理路,整然路理,然理路整,然理整路,然路理整,然路整理,然整理路,然整路理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梨園染物,梨園物染,梨染園物,梨染物園,梨物園染,梨物染園,園梨染物,園梨物染,園染梨物,園染物梨,園物梨染,園物染梨,染梨園物,染梨物園,染園梨物,染園物梨,染物梨園,染物園梨,物梨園染,物梨染園,物園梨染,物園染梨,物染梨園,物染園梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竜頭蛇尾,竜頭尾蛇,竜蛇頭尾,竜蛇尾頭,竜尾頭蛇,竜尾蛇頭,頭竜蛇尾,頭竜尾蛇,頭蛇竜尾,頭蛇尾竜,頭尾竜蛇,頭尾蛇竜,蛇竜頭尾,蛇竜尾頭,蛇頭竜尾,蛇頭尾竜,蛇尾竜頭,蛇尾頭竜,尾竜頭蛇,尾竜蛇頭,尾頭竜蛇,尾頭蛇竜,尾蛇竜頭,尾蛇頭竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
良妻賢母,良妻母賢,良賢妻母,良賢母妻,良母妻賢,良母賢妻,妻良賢母,妻良母賢,妻賢良母,妻賢母良,妻母良賢,妻母賢良,賢良妻母,賢良母妻,賢妻良母,賢妻母良,賢母良妻,賢母妻良,母良妻賢,母良賢妻,母妻良賢,母妻賢良,母賢良妻,母賢妻良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷静沈着,冷静着沈,冷沈静着,冷沈着静,冷着静沈,冷着沈静,静冷沈着,静冷着沈,静沈冷着,静沈着冷,静着冷沈,静着沈冷,沈冷静着,沈冷着静,沈静冷着,沈静着冷,沈着冷静,沈着静冷,着冷静沈,着冷沈静,着静冷沈,着静沈冷,着沈冷静,着沈静冷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一蓮托生,一蓮生托,一托蓮生,一托生蓮,一生蓮托,一生托蓮,蓮一托生,蓮一生托,蓮托一生,蓮托生一,蓮生一托,蓮生托一,托一蓮生,托一生蓮,托蓮一生,托蓮生一,托生一蓮,托生蓮一,生一蓮托,生一托蓮,生蓮一托,生蓮托一,生托一蓮,生托蓮一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明窓浄机,明窓机浄,明浄窓机,明浄机窓,明机窓浄,明机浄窓,窓明浄机,窓明机浄,窓浄明机,窓浄机明,窓机明浄,窓机浄明,浄明窓机,浄明机窓,浄窓明机,浄窓机明,浄机明窓,浄机窓明,机明窓浄,机明浄窓,机窓明浄,机窓浄明,机浄明窓,机浄窓明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
用意周全,用意全周,用周意全,用周全意,用全意周,用全周意,意用周全,意用全周,意周用全,意周全用,意全用周,意全周用,周用意全,周用全意,周意用全,周意全用,周全用意,周全意用,全用意周,全用周意,全意用周,全意周用,全周用意,全周意用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森羅万象,森羅象万,森万羅象,森万象羅,森象羅万,森象万羅,羅森万象,羅森象万,羅万森象,羅万象森,羅象森万,羅象万森,万森羅象,万森象羅,万羅森象,万羅象森,万象森羅,万象羅森,象森羅万,象森万羅,象羅森万,象羅万森,象万森羅,象万羅森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電光影裏,電光裏影,電影光裏,電影裏光,電裏光影,電裏影光,光電影裏,光電裏影,光影電裏,光影裏電,光裏電影,光裏影電,影電光裏,影電裏光,影光電裏,影光裏電,影裏電光,影裏光電,裏電光影,裏電影光,裏光電影,裏光影電,裏影電光,裏影光電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大言壮語,大言語壮,大壮言語,大壮語言,大語言壮,大語壮言,言大壮語,言大語壮,言壮大語,言壮語大,言語大壮,言語壮大,壮大言語,壮大語言,壮言大語,壮言語大,壮語大言,壮語言大,語大言壮,語大壮言,語言大壮,語言壮大,語壮大言,語壮言大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外柔内剛,外柔剛内,外内柔剛,外内剛柔,外剛柔内,外剛内柔,柔外内剛,柔外剛内,柔内外剛,柔内剛外,柔剛外内,柔剛内外,内外柔剛,内外剛柔,内柔外剛,内柔剛外,内剛外柔,内剛柔外,剛外柔内,剛外内柔,剛柔外内,剛柔内外,剛内外柔,剛内柔外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七転八倒,七転倒八,七八転倒,七八倒転,七倒転八,七倒八転,転七八倒,転七倒八,転八七倒,転八倒七,転倒七八,転倒八七,八七転倒,八七倒転,八転七倒,八転倒七,八倒七転,八倒転七,倒七転八,倒七八転,倒転七八,倒転八七,倒八七転,倒八転七,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厚徳温雅,厚徳雅温,厚温徳雅,厚温雅徳,厚雅徳温,厚雅温徳,徳厚温雅,徳厚雅温,徳温厚雅,徳温雅厚,徳雅厚温,徳雅温厚,温厚徳雅,温厚雅徳,温徳厚雅,温徳雅厚,温雅厚徳,温雅徳厚,雅厚徳温,雅厚温徳,雅徳厚温,雅徳温厚,雅温厚徳,雅温徳厚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
